"","cell_line","COSMIC_ID","drug","log10_dose","viability"
"357","A253",906794,"Navitoclax",-0.301,0.740720334218707
"358","A253",906794,"Navitoclax",-0.1989,0.923363572153389
"359","A253",906794,"Navitoclax",1e-04,0.905878131563256
"360","A253",906794,"Navitoclax",0.199,0.878532204060316
"361","A253",906794,"Navitoclax",0.301,0.974898579000384
"362","A253",906794,"Navitoclax",0.5,0.646804226467421
"363","A253",906794,"Navitoclax",0.699,0.687463871260906
"364","A253",906794,"Navitoclax",1,0.143142575960219
"365","A2780",906804,"Navitoclax",-2.6987,0.93088403861427
"366","A2780",906804,"Navitoclax",-2.3008,0.9130273942304
"367","A2780",906804,"Navitoclax",-2.1988,0.93053546845718
"368","A2780",906804,"Navitoclax",-1.9998,1.03853543654393
"369","A2780",906804,"Navitoclax",-1.8008,1.01933437035637
"370","A2780",906804,"Navitoclax",-1.6988,1.00740035923114
"371","A2780",906804,"Navitoclax",-1.4998,1.02704242793392
"372","A2780",906804,"Navitoclax",-1.3009,0.766094798304903
"373","A2780",906804,"Navitoclax",-1.1989,0.986928549163053
"374","A2780",906804,"Navitoclax",-0.9998,1.12456795791443
"375","A2780",906804,"Navitoclax",-0.8009,0.903672380331314
"376","A2780",906804,"Navitoclax",-0.6989,0.980423772230689
"377","A2780",906804,"Navitoclax",-0.4999,1.14752396727908
"378","A2780",906804,"Navitoclax",-0.301,0.841131168530435
"379","A2780",906804,"Navitoclax",-0.1989,0.944749883874796
"380","A2780",906804,"Navitoclax",1e-04,0.909471650560485
"381","A2780",906804,"Navitoclax",0.199,0.891144512067854
"382","A2780",906804,"Navitoclax",0.301,0.956390986457259
"383","A2780",906804,"Navitoclax",0.5,0.880784140818524
"384","A2780",906804,"Navitoclax",0.699,0.700446151817265
"385","A2780",906804,"Navitoclax",1,0.195404723970848
"386","A3-KAW",910935,"Navitoclax",-2.6987,1.10177717164154
"387","A3-KAW",910935,"Navitoclax",-2.3008,0.885306893093745
"388","A3-KAW",910935,"Navitoclax",-2.1988,1.04848957336552
"389","A3-KAW",910935,"Navitoclax",-1.9998,1.20709906670546
"390","A3-KAW",910935,"Navitoclax",-1.8008,1.11905925600549
"391","A3-KAW",910935,"Navitoclax",-1.6988,1.11954815068302
"392","A3-KAW",910935,"Navitoclax",-1.4998,1.06845017281557
"393","A3-KAW",910935,"Navitoclax",-1.3009,1.08856904707938
"394","A3-KAW",910935,"Navitoclax",-1.1989,1.1720417983745
"395","A3-KAW",910935,"Navitoclax",-0.9998,1.19085135908976
"396","A3-KAW",910935,"Navitoclax",-0.8009,0.969992075352208
"397","A3-KAW",910935,"Navitoclax",-0.6989,1.11308674433001
"398","A3-KAW",910935,"Navitoclax",-0.4999,1.09119159676983
"399","A3-KAW",910935,"Navitoclax",-0.301,0.903944719816738
"400","A3-KAW",910935,"Navitoclax",-0.1989,1.05171605340062
"401","A3-KAW",910935,"Navitoclax",1e-04,0.972050685434216
"402","A3-KAW",910935,"Navitoclax",0.199,0.776916946429043
"403","A3-KAW",910935,"Navitoclax",0.301,0.997600719408785
"404","A3-KAW",910935,"Navitoclax",0.5,0.766277694763685
"405","A3-KAW",910935,"Navitoclax",0.699,0.531365351010153
"406","A3-KAW",910935,"Navitoclax",1,0.102684285455184
"407","A375",906793,"Navitoclax",-2.6987,0.966738379757423
"408","A375",906793,"Navitoclax",-2.3008,0.912213853004145
"409","A375",906793,"Navitoclax",-2.1988,0.989245188966329
"410","A375",906793,"Navitoclax",-1.9998,1.10354853941189
"411","A375",906793,"Navitoclax",-1.8008,0.961253053150679
"412","A375",906793,"Navitoclax",-1.6988,0.992335853747792
"413","A375",906793,"Navitoclax",-1.4998,1.05749716576225
"414","A375",906793,"Navitoclax",-1.3009,0.89827268508393
"415","A375",906793,"Navitoclax",-1.1989,0.993976203970574
"416","A375",906793,"Navitoclax",-0.9998,1.03235185705184
"417","A375",906793,"Navitoclax",-0.8009,0.871802032331423
"418","A375",906793,"Navitoclax",-0.6989,0.965606332484456
"419","A375",906793,"Navitoclax",-0.4999,1.00561753453848
"420","A375",906793,"Navitoclax",-0.301,0.841963139754063
"421","A375",906793,"Navitoclax",-0.1989,0.959065820003555
"422","A375",906793,"Navitoclax",1e-04,0.936272226901719
"423","A375",906793,"Navitoclax",0.199,0.809663307034005
"424","A375",906793,"Navitoclax",0.301,0.943816278230296
"425","A375",906793,"Navitoclax",0.5,0.862923467838962
"426","A375",906793,"Navitoclax",0.699,0.68531740770861
"427","A375",906793,"Navitoclax",1,0.228583581965303
"428","A388",910697,"Navitoclax",-2.6987,0.980387767424288
"429","A388",910697,"Navitoclax",-2.1988,0.980387767424288
